CustomerID,PurchasingSegment,PurchaseAmount,PurchaseFrequency,WebsiteBehaviorSegment,WebsiteVisits,TimeOnSite,BounceRate,CombinedSegment
290,VIP Shopper,3309,11,Casual Browsers,43,3.5,34.96,VIP Shopper & Casual Browsers
291,Casual Shopper,3485,5,Bouncers,45,14.4,59.63,Casual Shopper & Bouncers
292,Casual Shopper,1939,2,Active Visitors,23,15.1,27.42,Casual Shopper & Active Visitors
293,Casual Shopper,1873,2,Active Visitors,5,13.88,2.66,Casual Shopper & Active Visitors
294,Loyal Shopper,1524,6,Casual Browsers,30,5.79,73.52,Loyal Shopper & Casual Browsers
295,VIP Shopper,2292,11,Bouncers,6,17.59,62.56,VIP Shopper & Bouncers
296,VIP Shopper,3293,10,Casual Browsers,46,4.21,58.08,VIP Shopper & Casual Browsers
297,VIP Shopper,3184,9,Casual Browsers,44,2.02,74.17,VIP Shopper & Casual Browsers
298,Casual Shopper,2120,4,Bouncers,4,14.63,67.52,Casual Shopper & Bouncers
299,Loyal Shopper,409,6,Active Visitors,29,10.03,20.59,Loyal Shopper & Active Visitors
300,Loyal Shopper,2091,7,Active Visitors,23,17.13,35.25,Loyal Shopper & Active Visitors
301,Loyal Shopper,1191,11,Active Visitors,6,8.28,12.61,Loyal Shopper & Active Visitors
302,Loyal Shopper,1685,6,Casual Browsers,32,4.2,12.99,Loyal Shopper & Casual Browsers
303,VIP Shopper,4050,8,Bouncers,42,16.89,67.62,VIP Shopper & Bouncers
304,Loyal Shopper,1993,4,Bouncers,18,11.43,85.86,Loyal Shopper & Bouncers
305,Casual Shopper,4824,1,Bouncers,15,4.59,96.27,Casual Shopper & Bouncers
306,VIP Shopper,3411,7,Bouncers,40,14.69,62.83,VIP Shopper & Bouncers
307,Casual Shopper,3030,3,Active Visitors,32,10.71,18.41,Casual Shopper & Active Visitors
308,Loyal Shopper,56,6,Active Visitors,9,12.48,10.57,Loyal Shopper & Active Visitors
309,Casual Shopper,3317,2,Bouncers,37,9.76,81.29,Casual Shopper & Bouncers
310,Loyal Shopper,1641,9,Bouncers,10,16.75,57.88,Loyal Shopper & Bouncers
311,Casual Shopper,4978,1,Bouncers,20,16.76,61.83,Casual Shopper & Bouncers
312,VIP Shopper,3314,6,Bouncers,6,14.48,78.15,VIP Shopper & Bouncers
313,VIP Shopper,2656,6,Casual Browsers,48,3,70.33,VIP Shopper & Casual Browsers
314,Casual Shopper,3269,5,Bouncers,3,16.94,83.45,Casual Shopper & Bouncers
315,Casual Shopper,3323,5,Active Visitors,42,13.75,5.62,Casual Shopper & Active Visitors
316,Loyal Shopper,963,1,Bouncers,11,14.24,74.75,Loyal Shopper & Bouncers
317,VIP Shopper,2061,10,Bouncers,43,7.9,85.09,VIP Shopper & Bouncers
318,Loyal Shopper,1492,5,Active Visitors,17,17.71,28.61,Loyal Shopper & Active Visitors
319,Casual Shopper,3104,2,Bouncers,32,14.78,64.04,Casual Shopper & Bouncers
320,VIP Shopper,3596,7,Casual Browsers,4,3.14,31.42,VIP Shopper & Casual Browsers
321,Casual Shopper,4271,3,Bouncers,4,8.75,95.8,Casual Shopper & Bouncers
322,Casual Shopper,4962,4,Active Visitors,17,17.84,3.34,Casual Shopper & Active Visitors
323,Casual Shopper,2978,3,Casual Browsers,41,1.9,57.98,Casual Shopper & Casual Browsers
324,Casual Shopper,1879,3,Active Visitors,19,19.27,16.65,Casual Shopper & Active Visitors
325,Loyal Shopper,625,4,Bouncers,5,13.9,71.22,Loyal Shopper & Bouncers
326,Loyal Shopper,979,5,Active Visitors,32,13,17.59,Loyal Shopper & Active Visitors
327,Casual Shopper,3809,1,Casual Browsers,22,6.14,23.54,Casual Shopper & Casual Browsers
328,Casual Shopper,3749,4,Casual Browsers,6,5.73,49.44,Casual Shopper & Casual Browsers
329,Loyal Shopper,1513,11,Bouncers,35,18.9,91.48,Loyal Shopper & Bouncers
330,VIP Shopper,3325,8,Casual Browsers,22,6.67,21.17,VIP Shopper & Casual Browsers
331,VIP Shopper,4978,10,Active Visitors,1,15.73,14.42,VIP Shopper & Active Visitors
332,Loyal Shopper,1104,7,Bouncers,20,8.47,75.9,Loyal Shopper & Bouncers
333,Loyal Shopper,1950,9,Casual Browsers,22,3.65,50.06,Loyal Shopper & Casual Browsers
334,Loyal Shopper,1507,5,Casual Browsers,48,1.2,91.18,Loyal Shopper & Casual Browsers
335,Loyal Shopper,1449,10,Active Visitors,11,11.34,14.66,Loyal Shopper & Active Visitors
336,Casual Shopper,3465,4,Bouncers,13,19.54,64.59,Casual Shopper & Bouncers
337,Loyal Shopper,492,8,Casual Browsers,42,8.01,23.29,Loyal Shopper & Casual Browsers
338,VIP Shopper,3700,9,Active Visitors,3,7.79,15.68,VIP Shopper & Active Visitors
339,VIP Shopper,4702,7,Casual Browsers,9,7.54,68.34,VIP Shopper & Casual Browsers
340,Loyal Shopper,1228,7,Bouncers,12,10.89,59.37,Loyal Shopper & Bouncers
341,Casual Shopper,4508,5,Bouncers,23,9.37,75.48,Casual Shopper & Bouncers
342,Loyal Shopper,1307,4,Active Visitors,14,17.72,30.95,Loyal Shopper & Active Visitors
343,VIP Shopper,3684,10,Casual Browsers,33,10.6,44.8,VIP Shopper & Casual Browsers
344,Casual Shopper,1891,1,Active Visitors,18,10.65,40.55,Casual Shopper & Active Visitors
345,VIP Shopper,2359,10,Casual Browsers,49,3.63,98.41,VIP Shopper & Casual Browsers
346,Loyal Shopper,960,10,Active Visitors,41,19.67,29.22,Loyal Shopper & Active Visitors
347,VIP Shopper,4390,7,Casual Browsers,9,5.75,29.48,VIP Shopper & Casual Browsers
348,Casual Shopper,4687,1,Casual Browsers,23,2.39,35.45,Casual Shopper & Casual Browsers
349,Casual Shopper,4059,1,Bouncers,10,13.6,56.46,Casual Shopper & Bouncers
350,Loyal Shopper,2219,5,Active Visitors,19,12.31,25.23,Loyal Shopper & Active Visitors
351,VIP Shopper,2222,9,Bouncers,47,8.89,91.53,VIP Shopper & Bouncers
352,Loyal Shopper,173,6,Active Visitors,5,9.02,26.57,Loyal Shopper & Active Visitors
353,Casual Shopper,3208,3,Bouncers,47,15.92,89.58,Casual Shopper & Bouncers
354,Loyal Shopper,835,3,Casual Browsers,23,4.72,10.35,Loyal Shopper & Casual Browsers
355,VIP Shopper,2466,7,Bouncers,30,16.58,65.66,VIP Shopper & Bouncers
356,Loyal Shopper,846,6,Bouncers,25,13.33,90.7,Loyal Shopper & Bouncers
357,VIP Shopper,4222,9,Active Visitors,28,8.96,16.87,VIP Shopper & Active Visitors
358,VIP Shopper,4204,6,Bouncers,34,9.7,96.83,VIP Shopper & Bouncers
359,Loyal Shopper,1986,5,Casual Browsers,45,5.88,45.29,Loyal Shopper & Casual Browsers
360,VIP Shopper,2206,10,Bouncers,48,15.29,94.57,VIP Shopper & Bouncers
361,VIP Shopper,3857,7,Bouncers,47,10.74,67.68,VIP Shopper & Bouncers
362,Casual Shopper,1351,1,Casual Browsers,25,7.1,30.16,Casual Shopper & Casual Browsers
363,VIP Shopper,4213,7,Active Visitors,10,12.32,18.83,VIP Shopper & Active Visitors
364,Casual Shopper,3190,3,Active Visitors,14,19.92,30.37,Casual Shopper & Active Visitors
365,VIP Shopper,3286,9,Active Visitors,42,9.27,9.3,VIP Shopper & Active Visitors
366,Loyal Shopper,2402,6,Active Visitors,46,18.49,14.39,Loyal Shopper & Active Visitors
367,VIP Shopper,1982,9,Active Visitors,30,7.56,10.47,VIP Shopper & Active Visitors
368,Casual Shopper,2771,5,Casual Browsers,41,2.04,42.29,Casual Shopper & Casual Browsers
369,Loyal Shopper,414,7,Casual Browsers,25,4.88,79.56,Loyal Shopper & Casual Browsers
370,Casual Shopper,4966,4,Active Visitors,14,8.96,14.14,Casual Shopper & Active Visitors
371,VIP Shopper,2440,7,Casual Browsers,35,5.17,13.03,VIP Shopper & Casual Browsers
372,Loyal Shopper,996,1,Casual Browsers,48,1,64.34,Loyal Shopper & Casual Browsers
373,Loyal Shopper,1427,7,Active Visitors,34,18.39,19.72,Loyal Shopper & Active Visitors
374,Loyal Shopper,1489,8,Active Visitors,10,17.03,9.76,Loyal Shopper & Active Visitors
375,Casual Shopper,3230,5,Active Visitors,35,15.1,16.68,Casual Shopper & Active Visitors
376,Casual Shopper,4907,2,Casual Browsers,11,4.19,92.37,Casual Shopper & Casual Browsers
377,Loyal Shopper,390,5,Casual Browsers,11,3.29,82.15,Loyal Shopper & Casual Browsers
378,VIP Shopper,3039,6,Casual Browsers,21,2.28,35.41,VIP Shopper & Casual Browsers
379,Loyal Shopper,432,2,Bouncers,21,14.76,65.58,Loyal Shopper & Bouncers
380,Loyal Shopper,1606,6,Bouncers,22,18.65,53.73,Loyal Shopper & Bouncers
381,Loyal Shopper,349,6,Bouncers,45,9.18,67.71,Loyal Shopper & Bouncers
382,Loyal Shopper,188,1,Casual Browsers,7,3.26,68.27,Loyal Shopper & Casual Browsers
383,Loyal Shopper,408,1,Bouncers,17,10.74,62.87,Loyal Shopper & Bouncers
384,VIP Shopper,4981,11,Active Visitors,2,7.63,26.61,VIP Shopper & Active Visitors
385,Loyal Shopper,1572,10,Active Visitors,12,8.12,3.9,Loyal Shopper & Active Visitors
386,Casual Shopper,3506,3,Active Visitors,42,12.81,45.56,Casual Shopper & Active Visitors
387,Loyal Shopper,1677,10,Bouncers,18,14.66,89.1,Loyal Shopper & Bouncers
388,Loyal Shopper,1353,10,Casual Browsers,11,3.1,56.95,Loyal Shopper & Casual Browsers
389,Loyal Shopper,1184,3,Casual Browsers,16,1.68,83.24,Loyal Shopper & Casual Browsers
390,Casual Shopper,2236,4,Bouncers,49,19.89,99.16,Casual Shopper & Bouncers
391,Casual Shopper,3220,2,Casual Browsers,18,5.42,16.36,Casual Shopper & Casual Browsers
392,VIP Shopper,3885,9,Casual Browsers,35,2.02,69.18,VIP Shopper & Casual Browsers
393,VIP Shopper,2201,10,Casual Browsers,26,4.61,67.43,VIP Shopper & Casual Browsers
394,Loyal Shopper,1287,11,Casual Browsers,16,1.74,98,Loyal Shopper & Casual Browsers
395,VIP Shopper,3785,7,Bouncers,6,8.44,98.56,VIP Shopper & Bouncers
396,VIP Shopper,2884,7,Bouncers,44,16.25,68.67,VIP Shopper & Bouncers
397,VIP Shopper,4310,6,Casual Browsers,43,7.48,24.36,VIP Shopper & Casual Browsers
398,Loyal Shopper,1048,3,Bouncers,47,9.44,79.86,Loyal Shopper & Bouncers
399,VIP Shopper,2617,6,Active Visitors,47,13.84,10.7,VIP Shopper & Active Visitors
400,Loyal Shopper,1357,8,Bouncers,48,10.67,78.07,Loyal Shopper & Bouncers
401,Loyal Shopper,706,8,Bouncers,42,17.37,91.02,Loyal Shopper & Bouncers
402,VIP Shopper,2710,11,Active Visitors,12,17.45,38.28,VIP Shopper & Active Visitors
403,VIP Shopper,2261,9,Casual Browsers,13,1.19,63.06,VIP Shopper & Casual Browsers
404,Casual Shopper,1959,1,Active Visitors,4,15.78,43.01,Casual Shopper & Active Visitors
405,Casual Shopper,3780,1,Casual Browsers,39,9.75,43.78,Casual Shopper & Casual Browsers
406,Casual Shopper,2096,3,Active Visitors,2,19.79,31.04,Casual Shopper & Active Visitors
407,Casual Shopper,3212,3,Bouncers,26,10.18,76.21,Casual Shopper & Bouncers
408,Loyal Shopper,1190,10,Bouncers,27,19.75,93.62,Loyal Shopper & Bouncers
409,Loyal Shopper,316,8,Bouncers,27,15.34,94.08,Loyal Shopper & Bouncers
410,VIP Shopper,1895,10,Casual Browsers,15,5.72,17.48,VIP Shopper & Casual Browsers
411,Casual Shopper,1758,1,Bouncers,8,11.23,87.47,Casual Shopper & Bouncers
412,Casual Shopper,3680,2,Bouncers,7,19.85,73.74,Casual Shopper & Bouncers
413,Casual Shopper,3261,2,Active Visitors,47,17.29,25.28,Casual Shopper & Active Visitors
414,Casual Shopper,2343,3,Casual Browsers,46,2.85,6.73,Casual Shopper & Casual Browsers
415,VIP Shopper,3782,6,Active Visitors,40,14.42,26.8,VIP Shopper & Active Visitors
416,Casual Shopper,3879,1,Bouncers,12,7.57,91.22,Casual Shopper & Bouncers
417,Casual Shopper,1560,2,Casual Browsers,13,1.13,63.32,Casual Shopper & Casual Browsers
418,Loyal Shopper,525,1,Bouncers,43,8.67,72.11,Loyal Shopper & Bouncers
419,Loyal Shopper,1026,5,Casual Browsers,17,5.46,25.72,Loyal Shopper & Casual Browsers
420,Loyal Shopper,1257,7,Bouncers,17,16.56,71.94,Loyal Shopper & Bouncers
421,Loyal Shopper,2010,8,Active Visitors,36,7.41,2.81,Loyal Shopper & Active Visitors
422,Loyal Shopper,607,10,Active Visitors,21,16.72,37.53,Loyal Shopper & Active Visitors
423,Loyal Shopper,932,1,Casual Browsers,8,1.01,62.68,Loyal Shopper & Casual Browsers
424,Loyal Shopper,2244,7,Active Visitors,5,6.85,14.61,Loyal Shopper & Active Visitors
425,Casual Shopper,4811,5,Casual Browsers,26,5.58,82.3,Casual Shopper & Casual Browsers
426,VIP Shopper,2717,10,Casual Browsers,16,5.44,23.5,VIP Shopper & Casual Browsers
427,Casual Shopper,4727,1,Casual Browsers,36,2.3,65.23,Casual Shopper & Casual Browsers
428,Casual Shopper,4840,3,Casual Browsers,28,4.56,40.52,Casual Shopper & Casual Browsers
429,Loyal Shopper,1660,7,Bouncers,29,11.56,59.6,Loyal Shopper & Bouncers
430,VIP Shopper,3538,10,Casual Browsers,47,6.54,10.75,VIP Shopper & Casual Browsers
431,Casual Shopper,2504,1,Active Visitors,12,8.93,1.69,Casual Shopper & Active Visitors
432,VIP Shopper,4544,7,Bouncers,37,8.16,90.96,VIP Shopper & Bouncers
433,Loyal Shopper,1996,5,Active Visitors,30,17.64,26.96,Loyal Shopper & Active Visitors
434,Casual Shopper,4860,1,Bouncers,23,18.2,81.97,Casual Shopper & Bouncers
435,Casual Shopper,4849,1,Bouncers,16,10.37,99.94,Casual Shopper & Bouncers
436,Casual Shopper,2858,1,Casual Browsers,14,7.27,21.14,Casual Shopper & Casual Browsers
437,VIP Shopper,3875,11,Casual Browsers,10,3.03,26.52,VIP Shopper & Casual Browsers
438,VIP Shopper,3586,9,Bouncers,7,19.11,66.29,VIP Shopper & Bouncers
439,VIP Shopper,3852,11,Casual Browsers,45,2.14,96.54,VIP Shopper & Casual Browsers
440,Casual Shopper,4227,3,Bouncers,37,6.66,91.58,Casual Shopper & Bouncers
441,Casual Shopper,4749,5,Casual Browsers,29,6.66,50.29,Casual Shopper & Casual Browsers
442,VIP Shopper,2020,11,Bouncers,3,7.09,79.51,VIP Shopper & Bouncers
443,VIP Shopper,3872,10,Casual Browsers,15,4.12,13.57,VIP Shopper & Casual Browsers
444,VIP Shopper,2869,9,Bouncers,36,15.88,97.74,VIP Shopper & Bouncers
445,Loyal Shopper,952,6,Casual Browsers,47,3.33,96.44,Loyal Shopper & Casual Browsers
446,Loyal Shopper,414,9,Active Visitors,46,13.06,16.37,Loyal Shopper & Active Visitors
447,VIP Shopper,4308,8,Casual Browsers,19,3.35,29.94,VIP Shopper & Casual Browsers
448,VIP Shopper,3169,8,Casual Browsers,13,2.34,10.02,VIP Shopper & Casual Browsers
449,Casual Shopper,2608,1,Active Visitors,42,18.28,27.17,Casual Shopper & Active Visitors
450,Loyal Shopper,1913,9,Casual Browsers,21,4.61,81.6,Loyal Shopper & Casual Browsers
451,Loyal Shopper,165,6,Active Visitors,37,16.6,37.83,Loyal Shopper & Active Visitors
452,VIP Shopper,2434,9,Active Visitors,27,11.35,8.84,VIP Shopper & Active Visitors
453,Casual Shopper,3985,3,Casual Browsers,29,2.48,34.22,Casual Shopper & Casual Browsers
454,Casual Shopper,4985,3,Bouncers,20,19.15,98.14,Casual Shopper & Bouncers
455,Loyal Shopper,2540,6,Casual Browsers,25,5.69,62.97,Loyal Shopper & Casual Browsers
456,Loyal Shopper,992,9,Active Visitors,6,17.33,41.62,Loyal Shopper & Active Visitors
457,Loyal Shopper,1774,7,Casual Browsers,36,4.21,16.65,Loyal Shopper & Casual Browsers
458,Casual Shopper,2384,3,Bouncers,2,17.22,98.62,Casual Shopper & Bouncers
459,Casual Shopper,2817,3,Casual Browsers,22,1.25,82.08,Casual Shopper & Casual Browsers
460,Loyal Shopper,1187,2,Active Visitors,32,10.72,28.15,Loyal Shopper & Active Visitors
461,VIP Shopper,2577,9,Active Visitors,16,15.62,7.01,VIP Shopper & Active Visitors
462,Casual Shopper,4167,3,Active Visitors,18,18.76,5.66,Casual Shopper & Active Visitors
463,VIP Shopper,3470,11,Active Visitors,5,18.27,12.04,VIP Shopper & Active Visitors
464,Casual Shopper,4828,5,Bouncers,36,16.57,58.08,Casual Shopper & Bouncers
465,VIP Shopper,3956,9,Bouncers,30,17.88,92.88,VIP Shopper & Bouncers
466,VIP Shopper,3687,8,Casual Browsers,45,4.79,49.67,VIP Shopper & Casual Browsers
467,Casual Shopper,3003,2,Bouncers,19,6.4,84.29,Casual Shopper & Bouncers
468,Casual Shopper,2417,3,Casual Browsers,23,6.49,44.59,Casual Shopper & Casual Browsers
469,Casual Shopper,4271,2,Casual Browsers,34,8.16,70.86,Casual Shopper & Casual Browsers
470,Loyal Shopper,326,8,Bouncers,13,8.47,73.19,Loyal Shopper & Bouncers
471,Loyal Shopper,2049,6,Active Visitors,43,11.35,17.4,Loyal Shopper & Active Visitors
472,Loyal Shopper,1277,6,Casual Browsers,29,4.04,36.12,Loyal Shopper & Casual Browsers
473,VIP Shopper,3802,9,Bouncers,36,14.13,63.73,VIP Shopper & Bouncers
474,VIP Shopper,3785,8,Casual Browsers,22,4.18,7.07,VIP Shopper & Casual Browsers
475,Loyal Shopper,745,4,Casual Browsers,47,6.9,36.15,Loyal Shopper & Casual Browsers
476,Loyal Shopper,1359,4,Bouncers,36,10.56,53.48,Loyal Shopper & Bouncers
477,VIP Shopper,4202,9,Bouncers,9,16.13,99.62,VIP Shopper & Bouncers
478,Casual Shopper,3284,1,Active Visitors,39,15.05,47.45,Casual Shopper & Active Visitors
479,Casual Shopper,4164,2,Bouncers,19,13.27,81.61,Casual Shopper & Bouncers
480,Casual Shopper,2361,2,Casual Browsers,38,3.96,43.21,Casual Shopper & Casual Browsers
481,VIP Shopper,2891,6,Bouncers,6,11.39,79.64,VIP Shopper & Bouncers
482,Casual Shopper,4258,4,Casual Browsers,47,2.66,59.54,Casual Shopper & Casual Browsers
483,VIP Shopper,3609,11,Bouncers,15,8.17,88.66,VIP Shopper & Bouncers
484,VIP Shopper,3448,10,Casual Browsers,20,8.86,41.09,VIP Shopper & Casual Browsers
485,Loyal Shopper,591,3,Casual Browsers,9,1.76,60.43,Loyal Shopper & Casual Browsers
486,Casual Shopper,2744,3,Casual Browsers,32,6.21,63,Casual Shopper & Casual Browsers
487,Casual Shopper,4724,3,Active Visitors,4,19.16,41.74,Casual Shopper & Active Visitors
488,Loyal Shopper,1138,6,Active Visitors,18,19.12,14.43,Loyal Shopper & Active Visitors
489,VIP Shopper,3413,8,Active Visitors,5,7.69,9.36,VIP Shopper & Active Visitors
490,Loyal Shopper,74,11,Casual Browsers,20,1.82,1.67,Loyal Shopper & Casual Browsers
491,Loyal Shopper,1622,7,Casual Browsers,23,4.4,87.35,Loyal Shopper & Casual Browsers
492,Casual Shopper,3008,4,Active Visitors,11,8.45,23.65,Casual Shopper & Active Visitors
493,VIP Shopper,4286,11,Active Visitors,37,19.01,21.15,VIP Shopper & Active Visitors
494,Loyal Shopper,1817,4,Casual Browsers,22,3.68,73.6,Loyal Shopper & Casual Browsers
495,VIP Shopper,4793,11,Active Visitors,4,15.51,32,VIP Shopper & Active Visitors
496,VIP Shopper,2285,10,Casual Browsers,29,3.06,50.6,VIP Shopper & Casual Browsers
497,Loyal Shopper,250,11,Active Visitors,44,19.64,16.25,Loyal Shopper & Active Visitors
498,VIP Shopper,3248,11,Bouncers,34,8.25,95.97,VIP Shopper & Bouncers
499,Loyal Shopper,306,11,Bouncers,13,15.73,85.16,Loyal Shopper & Bouncers
500,Casual Shopper,3797,2,Bouncers,42,7.51,86.38,Casual Shopper & Bouncers
501,Casual Shopper,4692,1,Active Visitors,9,12.93,40.68,Casual Shopper & Active Visitors
502,VIP Shopper,2291,9,Casual Browsers,42,4.65,76.24,VIP Shopper & Casual Browsers
503,Casual Shopper,3225,2,Casual Browsers,31,3.77,14.39,Casual Shopper & Casual Browsers
504,VIP Shopper,3656,8,Active Visitors,7,18.82,0.86,VIP Shopper & Active Visitors
505,VIP Shopper,3386,9,Active Visitors,4,18.44,2,VIP Shopper & Active Visitors
506,Casual Shopper,4947,4,Bouncers,19,17.86,58.66,Casual Shopper & Bouncers
507,Loyal Shopper,463,8,Active Visitors,42,12.88,45.54,Loyal Shopper & Active Visitors
508,VIP Shopper,2064,9,Bouncers,30,16.36,51.8,VIP Shopper & Bouncers
509,Loyal Shopper,1431,10,Casual Browsers,31,2.31,0.75,Loyal Shopper & Casual Browsers
510,Loyal Shopper,1148,10,Casual Browsers,35,7.36,42.27,Loyal Shopper & Casual Browsers
511,Casual Shopper,3476,5,Casual Browsers,21,6.96,71.81,Casual Shopper & Casual Browsers
512,VIP Shopper,3705,7,Active Visitors,31,13.08,44.27,VIP Shopper & Active Visitors
513,Loyal Shopper,959,10,Bouncers,19,7.76,73.22,Loyal Shopper & Bouncers
514,Loyal Shopper,237,4,Casual Browsers,31,3.82,23.3,Loyal Shopper & Casual Browsers
515,Casual Shopper,4094,1,Bouncers,32,12.33,81.31,Casual Shopper & Bouncers
516,Casual Shopper,3806,3,Bouncers,2,16.47,58.84,Casual Shopper & Bouncers
517,Loyal Shopper,2065,5,Active Visitors,10,8.26,21.08,Loyal Shopper & Active Visitors
518,Casual Shopper,2142,3,Casual Browsers,2,3.51,23.67,Casual Shopper & Casual Browsers
519,VIP Shopper,3694,11,Casual Browsers,2,4.74,62.8,VIP Shopper & Casual Browsers
520,Loyal Shopper,2180,7,Casual Browsers,24,5.51,82.99,Loyal Shopper & Casual Browsers
521,Loyal Shopper,407,9,Casual Browsers,17,6.7,41.56,Loyal Shopper & Casual Browsers
522,Loyal Shopper,2472,6,Active Visitors,32,13.21,25.83,Loyal Shopper & Active Visitors
523,VIP Shopper,4307,10,Bouncers,16,12.42,86.7,VIP Shopper & Bouncers
524,Casual Shopper,4595,1,Bouncers,16,14.23,66.93,Casual Shopper & Bouncers
525,Loyal Shopper,1547,7,Casual Browsers,46,7.89,44.81,Loyal Shopper & Casual Browsers
526,Casual Shopper,2208,3,Active Visitors,39,16.66,48.79,Casual Shopper & Active Visitors
527,Casual Shopper,2605,5,Casual Browsers,31,4.88,20.43,Casual Shopper & Casual Browsers
528,VIP Shopper,2392,10,Bouncers,43,9.91,62.68,VIP Shopper & Bouncers
529,Casual Shopper,3001,4,Active Visitors,24,16.22,35.87,Casual Shopper & Active Visitors
530,Loyal Shopper,1288,10,Bouncers,1,4.42,99.56,Loyal Shopper & Bouncers
531,Loyal Shopper,1023,5,Casual Browsers,11,3.09,48.02,Loyal Shopper & Casual Browsers
532,Casual Shopper,4777,5,Active Visitors,21,17.79,48.59,Casual Shopper & Active Visitors
533,VIP Shopper,4015,6,Casual Browsers,4,7.52,56.59,VIP Shopper & Casual Browsers
534,Loyal Shopper,1100,10,Bouncers,7,13.99,91.68,Loyal Shopper & Bouncers
535,VIP Shopper,3751,10,Casual Browsers,26,1.48,80.08,VIP Shopper & Casual Browsers
536,VIP Shopper,2830,11,Active Visitors,47,14.11,45.11,VIP Shopper & Active Visitors
537,Loyal Shopper,1638,6,Casual Browsers,12,7.01,71.87,Loyal Shopper & Casual Browsers
538,VIP Shopper,3928,8,Casual Browsers,31,2.06,58.62,VIP Shopper & Casual Browsers
539,VIP Shopper,2418,8,Active Visitors,17,12.59,49.24,VIP Shopper & Active Visitors
540,Loyal Shopper,486,11,Casual Browsers,33,5.58,19.23,Loyal Shopper & Casual Browsers
541,VIP Shopper,2878,9,Casual Browsers,11,8.35,46.39,VIP Shopper & Casual Browsers
542,Loyal Shopper,1606,8,Casual Browsers,28,2.53,24.58,Loyal Shopper & Casual Browsers
543,VIP Shopper,3908,11,Casual Browsers,32,3.8,91.48,VIP Shopper & Casual Browsers
544,Loyal Shopper,1354,2,Casual Browsers,1,6.66,33.54,Loyal Shopper & Casual Browsers
545,VIP Shopper,2434,10,Casual Browsers,47,2.71,95.23,VIP Shopper & Casual Browsers
546,Loyal Shopper,232,11,Bouncers,28,18.31,53.31,Loyal Shopper & Bouncers
547,Casual Shopper,1639,1,Casual Browsers,42,1.11,63.15,Casual Shopper & Casual Browsers
548,Loyal Shopper,1637,10,Bouncers,7,10.19,54.29,Loyal Shopper & Bouncers
549,Loyal Shopper,709,2,Casual Browsers,2,3.34,12.94,Loyal Shopper & Casual Browsers
550,Loyal Shopper,209,2,Casual Browsers,42,6.85,37.58,Loyal Shopper & Casual Browsers
551,Casual Shopper,4003,3,Active Visitors,24,18.6,9.91,Casual Shopper & Active Visitors
552,Loyal Shopper,1061,10,Casual Browsers,4,4.07,62.3,Loyal Shopper & Casual Browsers
553,Loyal Shopper,102,7,Active Visitors,44,19.35,44.69,Loyal Shopper & Active Visitors
554,Casual Shopper,2357,2,Casual Browsers,19,4.91,77.8,Casual Shopper & Casual Browsers
555,Casual Shopper,1278,1,Active Visitors,26,15.09,22.05,Casual Shopper & Active Visitors
556,Loyal Shopper,1085,6,Active Visitors,11,11.39,16.46,Loyal Shopper & Active Visitors
557,VIP Shopper,3752,9,Active Visitors,40,17.81,40.63,VIP Shopper & Active Visitors
558,Casual Shopper,4095,3,Bouncers,43,11.53,92.66,Casual Shopper & Bouncers
559,VIP Shopper,4995,6,Bouncers,11,11.16,71.04,VIP Shopper & Bouncers
560,Casual Shopper,4499,3,Casual Browsers,45,4.71,41.89,Casual Shopper & Casual Browsers
561,Casual Shopper,1314,1,Casual Browsers,3,4.16,51.73,Casual Shopper & Casual Browsers
562,Loyal Shopper,1934,5,Active Visitors,12,18.41,8.42,Loyal Shopper & Active Visitors
563,VIP Shopper,1859,10,Bouncers,3,7.23,98.46,VIP Shopper & Bouncers
564,VIP Shopper,3217,11,Casual Browsers,42,8.07,66.64,VIP Shopper & Casual Browsers
565,Casual Shopper,3847,4,Active Visitors,27,15.44,28.54,Casual Shopper & Active Visitors
566,VIP Shopper,2391,7,Casual Browsers,49,7.44,58.58,VIP Shopper & Casual Browsers
567,VIP Shopper,3464,6,Active Visitors,2,19.09,10.95,VIP Shopper & Active Visitors
568,Loyal Shopper,867,10,Bouncers,49,15.02,96.58,Loyal Shopper & Bouncers
569,VIP Shopper,2487,7,Active Visitors,16,12.35,17.48,VIP Shopper & Active Visitors
570,Loyal Shopper,938,5,Bouncers,2,17.74,64.8,Loyal Shopper & Bouncers
571,Loyal Shopper,717,4,Casual Browsers,30,1.94,24.55,Loyal Shopper & Casual Browsers
572,VIP Shopper,4778,7,Casual Browsers,20,5.88,71.76,VIP Shopper & Casual Browsers
573,VIP Shopper,2674,7,Bouncers,38,9.84,77.68,VIP Shopper & Bouncers
574,VIP Shopper,4282,6,Casual Browsers,28,5.31,67.34,VIP Shopper & Casual Browsers
575,VIP Shopper,4573,8,Bouncers,25,15.13,61.45,VIP Shopper & Bouncers
576,Loyal Shopper,868,4,Bouncers,32,18.46,89.25,Loyal Shopper & Bouncers
577,VIP Shopper,2238,10,Active Visitors,10,9.05,7.86,VIP Shopper & Active Visitors
578,Loyal Shopper,1156,5,Casual Browsers,42,7.5,33.09,Loyal Shopper & Casual Browsers
579,Casual Shopper,2274,4,Active Visitors,40,19.27,24.83,Casual Shopper & Active Visitors
580,Loyal Shopper,247,1,Bouncers,33,9.45,98.8,Loyal Shopper & Bouncers
581,VIP Shopper,2721,8,Active Visitors,13,10.29,38.94,VIP Shopper & Active Visitors
